Name,Country,Population
La Habana,Cuba,2256000
Santo Domingo de Guzmán,Dominican Republic,1609966
Port-au-Prince,Haiti,884472
San Juan,Puerto Rico,434374
Nassau,Bahamas,172000
Kingston,Jamaica,103962
Fort-de-France,Martinique,94050
Port-of-Spain,Trinidad and Tobago,43396
Oranjestad,Aruba,29034
Saint John´s,Antigua and Barbuda,24000
George Town,Cayman Islands,19600
Kingstown,Saint Vincent and the Grenadines,17100
Roseau,Dominica,16243
Charlotte Amalie,"Virgin Islands, U.S.",13000
Basse-Terre,Guadeloupe,12433
Basseterre,Saint Kitts and Nevis,11600
Road Town,"Virgin Islands, British",8000
Bridgetown,Barbados,6070
Cockburn Town,Turks and Caicos Islands,4800
Saint George´s,Grenada,4621
Willemstad,Netherlands Antilles,2345
Castries,Saint Lucia,2301
Plymouth,Montserrat,2000
The Valley,Anguilla,595
